"Starters"\
"Soups"\
"Salads"\
"Curry"\
"Chicken & Pork"\
"Beef"\
"Duck"\
"Seafood and Fish"\
"Specials"\
"Vegetables"\
"Rice"\"
"Noodles"\
"Vegie Starters"\
"Vegie Main"\
"Set Menu"\
"Extras"\
"Lunch"\
"Deserts"\
"White wine"\
"Red wine"\
"Rose wine"\
"Champagne"\
"Spirits"\
"Beer"\
"Soft Drinks"\
"Offers"\
